geo_code,name,total,0-14,15-24,25-34,35-44,45-54,55-64,65+,province
LIM472,Elias Motsoaledi,243137,86345,52955,30998,22211,18345,14060,18223,Limpopo
LIM473,Makhuduthamaga,272990,103181,56975,31318,23527,19150,16015,22824,Limpopo
LIM474,Fetakgomo,93649,32987,19316,12192,8637,7174,5365,7978,Limpopo
LIM475,Greater Tubatse,331142,113067,71926,55295,34602,23808,14732,17712,Limpopo
MP301,Albert Luthuli,183327,67064,41824,23802,16710,13892,10092,9943,Limpopo
MP302,Msukaligwa,140426,42770,29165,25015,16754,12959,8146,5617,Mpumalanga
MP304,Pixley Ka Seme,77603,26884,16070,10713,7984,6771,4851,4330,Mpumalanga
MP305,Lekwa,109478,31534,21497,18420,13802,11499,7330,5396,Mpumalanga
MP306,Dipaleseng,41292,11874,7977,7320,5092,3914,2735,2380,Mpumalanga
MP307,Govan Mbeki,289424,79339,56738,56891,37829,31754,16691,10182,Mpumalanga
MP312,Emalahleni,388275,99782,75647,80278,53828,41963,23337,13440,Mpumalanga
MP313,Steve Tshwete,221679,56690,41767,43585,32176,24414,13960,9087,Mpumalanga
MP314,Emakhazeni,44385,12585,8662,7959,5669,4161,2823,2526,Mpumalanga
MP315,Thembisile,309789,100200,64730,47058,34977,27926,19384,15514,Mpumalanga
MP316,Dr JS Moroka,251876,82331,52138,32990,24989,21243,17562,20623,Mpumalanga
MP321,Thaba Chweu,93702,24291,17550,18139,13717,9699,5703,4603,Mpumalanga
