geo_code,name,total,employed,employed-15-19,employed-15-19-Female,employed-15-19-Male,employed-20-24,employed-20-24-Female,employed-20-24-Male,unemployed,unemployed-15-19,unemployed-15-19-Female,unemployed-15-19-Male,unemployed-20-24,unemployed-20-24-Female,unemployed-20-24-Male,province
NC452,Ga-Segonyana,4967,2029,297,119,178,1732,589,1143,2938,777,395,382,2161,1165,996,Northern Cape
NC453,Gamagara,3620,2301,292,98,194,2009,633,1376,1319,460,251,209,859,497,362,Northern Cape
CPT,City of Cape Town,304076,163714,25898,12366,13532,137816,64750,73066,140362,45659,23065,22594,94703,49926,44777,Northern Cape
WC011,Matzikama,5349,3914,974,422,552,2940,1191,1749,1435,551,245,306,884,489,395,Western Cape
WC013,Bergrivier,4832,4207,1101,507,594,3106,1446,1660,625,292,126,166,333,182,151,Western Cape
WC014,Saldanha Bay,8947,5193,884,395,489,4309,1997,2312,3754,1327,591,736,2427,1200,1227,Western Cape
WC015,Swartland,9084,6793,1567,646,921,5226,2236,2990,2291,1028,520,508,1263,693,570,Western Cape
WC022,Witzenberg,11440,9801,2105,876,1229,7696,3206,4490,1639,669,332,337,970,531,439,Western Cape
WC023,Drakenstein,20103,13132,2859,1292,1567,10273,4703,5570,6971,2537,1273,1264,4434,2314,2120,Western Cape
WC025,Breede Valley,13220,9569,2126,1034,1092,7443,3705,3738,3651,1342,688,654,2309,1229,1080,Western Cape
WC026,Langeberg,7981,6347,1767,718,1049,4580,2006,2574,1634,692,356,336,942,529,413,Western Cape
WC031,Theewaterskloof,9188,6624,1465,607,858,5159,2113,3046,2564,997,517,480,1567,846,721,Western Cape
WC032,Overstrand,6357,3584,683,331,352,2901,1331,1570,2773,987,504,483,1786,899,887,Western Cape
WC034,Swellendam,2646,2049,493,142,351,1556,603,953,597,266,127,139,331,189,142,Western Cape
WC041,Kannaland,1596,1135,262,111,151,873,314,559,461,187,95,92,274,160,114,Western Cape
WC042,Hessequa,3419,2473,548,195,353,1925,783,1142,946,448,210,238,498,308,190,Western Cape
