,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,464482141,AUDA,GT483,Westonaria,Total Cash Receipts by Source,Gauteng,27.6786847,27.6786847
2013,447055494,AUDA,GT483,Westonaria,Total Cash Payments by Type,Gauteng,27.6786847,27.6786847
2013,1241193224,AUDA,GT484,Merafong City,Total Cash Receipts by Source,Gauteng,27.666952,27.666952
2013,1111919567,AUDA,GT484,Merafong City,Total Cash Payments by Type,Gauteng,27.666952,27.666952
2013,34208703000,AUDA,JHB,City of Johannesburg,Total Cash Receipts by Source,Gauteng,27.4086488,27.4086488
2013,31027761000,AUDA,JHB,City of Johannesburg,Total Cash Payments by Type,Gauteng,27.4086488,27.4086488
2013,66538620,AUDA,KZN211,Vulamehlo,Total Cash Receipts by Source,Gauteng,27.9717606,27.9717606
2013,58027189,AUDA,KZN211,Vulamehlo,Total Cash Payments by Type,Gauteng,27.9717606,27.9717606
2013,149272840,AUDA,KZN212,Umdoni,Total Cash Receipts by Source,KwaZulu-Natal,30.5739579,30.5739579
2013,169314313,AUDA,KZN212,Umdoni,Total Cash Payments by Type,KwaZulu-Natal,30.5739579,30.5739579
2013,140062368,AUDA,KZN213,Umzumbe,Total Cash Receipts by Source,KwaZulu-Natal,30.6890055,30.6890055
2013,113928722,AUDA,KZN213,Umzumbe,Total Cash Payments by Type,KwaZulu-Natal,30.6890055,30.6890055
2013,105547547,AUDA,KZN214,uMuziwabantu,Total Cash Receipts by Source,KwaZulu-Natal,30.5928401,30.5928401
2013,103916034,AUDA,KZN214,uMuziwabantu,Total Cash Payments by Type,KwaZulu-Natal,30.5928401,30.5928401
2013,47151228,AUDA,KZN215,Ezingoleni,Total Cash Receipts by Source,KwaZulu-Natal,29.9277947,29.9277947
2013,39047921,AUDA,KZN215,Ezingoleni,Total Cash Payments by Type,KwaZulu-Natal,29.9277947,29.9277947
2013,545411432,AUDA,KZN216,Ray Nkonyeni,Total Cash Receipts by Source,KwaZulu-Natal,30.182022,30.182022
2013,572493556,AUDA,KZN216,Ray Nkonyeni,Total Cash Payments by Type,KwaZulu-Natal,30.182022,30.182022
