,date,mun_code,mun_name,Province,Latitude,Longitude,Property_rates,Property_rates_PENALTIES,Service_Charges,Rent_Faciliites_Equip,Interest_Earned_Ex,Interest_Earned_De,Dividends_Rec,Fines,Licence_permits,Agency_Services,Transfers_Operating,Transfers_Capital,other_rev,PPE_disposal_gain,revenue_foregone,Total_rev
615,2015,EC131,Inxuba Yethemba,Eastern Cape,26.832914399999996,26.832914399999996,29795115,0,93259326,2038150,3941220,0,0,643665,0,2519142,52849769,10768059,3595691,5085857,0,204495994
616,2015,EC132,Tsolwana,Eastern Cape,26.324943800000003,26.324943800000003,2281073,0,6556205,96864,772447,1347783,0,8000,0,1772587,39955348,13689180,1246823,0,0,67726310
617,2015,EC133,Inkwanca,Eastern Cape,25.378571899999997,25.378571899999997,5123242,0,7230032,152777,68,1286559,0,29900,0,0,21108670,0,1486149,0,0,36417397
618,2015,EC134,Lukanji,Eastern Cape,26.135943100000002,26.135943100000002,66069013,0,200863603,2760577,8837196,18402234,0,192808,3844095,0,127727106,39078362,22027697,0,0,489802691
619,2015,EC135,Intsika Yethu,Eastern Cape,26.513796399999997,26.513796399999997,3327344,0,588236,1169317,2188296,0,0,338500,2173032,0,122680201,44829530,2723305,0,0,180017761
620,2015,EC136,Emalahleni,Eastern Cape,26.8910342,26.8910342,3719278,0,11179543,720791,3349949,3929602,0,107783,462097,65702,112881000,30399227,2893312,926127,0,170634411
621,2015,EC137,Engcobo,Eastern Cape,27.6434844,27.6434844,2999175,0,725019,247125,2838684,0,0,16950,3668351,0,108799999,46804000,5176721,0,0,171276024
622,2015,EC138,Sakhisizwe,Eastern Cape,29.2553229,29.2553229,5119111,0,11860176,0,525890,3317377,0,0,0,0,55094883,13653483,6189835,202841,0,95963596
623,2015,EC141,Elundini,Eastern Cape,27.983473800000002,27.983473800000002,13661290,0,18980658,1447887,2100502,1166390,0,335327,1973303,1414350,118377964,40841008,5883091,0,0,206181770
624,2015,EC142,Senqu,Eastern Cape,27.831142800000002,27.831142800000002,4607033,0,29442725,645960,10511716,1969792,0,818340,1303197,510104,124357556,26709392,7401033,0,0,208276848
